1;Wahlberechtigte
2;Wähler
3;Ungültige
4;Gültige
5;Christlich Demokratische Union Deutschlands
6;Sozialdemokratische Partei Deutschlands
7;DIE LINKE
8;BÜNDNIS 90/DIE GRÜNEN
9;Christlich-Soziale Union in Bayern e.V.
10;Freie Demokratische Partei
11;Alternative für Deutschland
12;Piratenpartei Deutschland
13;Nationaldemokratische Partei Deutschlands
14;FREIE WÄHLER
15;PARTEI MENSCH UMWELT TIERSCHUTZ
16;Ökologisch-Demokratische Partei
17;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
18;Bayernpartei
19;Ab jetzt...Demokratie durch Volksabstimmung
20;Partei der Vernunft
21;Marxistisch-Leninistische Partei Deutschlands
22;Bürgerrechtsbewegung Solidarität
23;Sozialistische Gleichheitspartei, Vierte Internationale
24;DIE RECHTE
25;Allianz Deutscher Demokraten
26;Allianz für Menschenrechte, Tier- und Naturschutz
27;bergpartei, die überpartei
28;Bündnis Grundeinkommen
29;DEMOKRATIE IN BEWEGUNG
30;Deutsche Kommunistische Partei
31;Deutsche Mitte
32;Die Grauen – Für alle Generationen
33;Die Urbane. Eine HipHop Partei
34;Madgeburger Gartenpartei
35;Menschliche Welt
36;Partei der Humanisten
37;Partei für Gesundheitsforschung
38;V-Partei_ - Partei für Veränderung, Vegetarier und Veganer
39;Bündnis C - Christen für Deutschland
40;DIE EINHEIT
41;Die Violetten
42;Familien-Partei Deutschlands
43;Feministische Partei DIE FRAUEN
44;Mieterpartei
45;Neue Liberale – Die Sozialliberalen
46;UNABHÄNGIGE für bürgernahe Demokratie
47;Übrige
